Begriffe,Website-Text,Website-Verlinkung,Quellen,Allgemeine Begrifflichkeiten,Psychische Gewalt,Körperliche Gewalt,Gewalt in der Arbeitswelt ,Häusliche Gewalt ,Digitale Gewalt 
Gaslighting,"Der Begriff „Gaslighting“ bezeichnet eine Form von psychischer Gewalt, bei dem die Opfer so stark durch Lügen, Leugnen und Einschüchterungstaktiken manipuliert werden, dass sie anfangen, an ihrem eigenen Verstand zu zweifeln. Das Heimtückische beim „Gaslighting“: eine Lüge hier, eine Lüge da, ab und zu ein abfälliger Kommentar. Die stete Kritik am Handeln oder Aussehen, die Einschüchterungen und Versteckspiele haben über die Dauer verheerende Folgen: Der oder die Betroffene misstraut der eigenen Wahrnehmung, wird zunehmend verwirrt und emotional erschöpft. ",https://www.barmer.de/gesundheit-verstehen/psyche/psychische-gesundheit/gaslighting-1072304,"Vgl. Barmer, Psychische Gesundheit - Gaslighting - so erkennt man die gezielte Manipulation",x,x,,,,
geschlechtsspezifische Gewalt,"Geschlechtsspezifische Gewalt gegen Frauen ist Gewalt, die Betroffene erfahren, weil sie weiblichen Geschlechts sind. Gemeint sind damit alle Handlungen, durch die Frauen körperliches, sexuelles oder psychisches Leid erfahren oder wirtschaftlich Schaden nehmen. Schon die Androhung von Gewalt zählt dazu, genauso wie Nötigung oder willkürliche Freiheitsentziehung.",https://www.frauenhauskoordinierung.de/themenportal/gewalt-gegen-frauen/gewaltformen/geschlechtsspezifische-gewalt/,"Vgl. Fraunhauskoordinierung, Geschlechtsspezifische Gewalt",x,,,,,
Grooming,"Grooming (engl.= anbahnen, vorbereiten) bedeutet, eine sexuelle Grenzüberschreitung oder einen sexuellen Kindesmissbrauch geplant vorzubereiten. Dieses geplante Vorgehen umfasst in der Regel folgende Aspekte : Vertrauen des Kindes gewinnen, es bevorzugen, isolieren, zum Schweigen und Geheimhalten bringen und gefügig machen, indem nach und nach die Grenzen des Opfers überschritten werden.",https://www.aufarbeitungskommission.de/service-presse/service/glossar/grooming/,"Vgl. Unabhängige Kommission zur Aufarbeitung sexuellen Kindesmissbrauchs, Glossar",x,,,,,
Häusliche Gewalt,"Häusliche Gewalt bezeichnet wie Partnerschaftsgewalt Gewalttaten zwischen Menschen, die in einer häuslichen Gemeinschaft leben oder lebten, beispielsweise in einer Ehe, Lebenspartnerschaft oder intimen Beziehung. Zu Partnerschaftsgewalt zählen nicht nur Schläge, sie sind nur eine Facette eines komplexen Verhaltensmusters, das umfassend auf Macht und Kontrolle zielt. Betroffene sind häufig auch psychischer Gewalt wie Demütigungen, Drohungen, Einschüchterungen, sozialer Isolation oder wirtschaftlichem Druck durch den Täter oder die Täterin ausgesetzt.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen",x,,,,x,
Intersektionalität,"Mit dem Ansatz Intersektionalität wird berücksichtigt, dass verschiedene Diskriminierungen nicht getrennt voneinander existieren. So sind Menschen, die von Armut betroffen sind, häufig außerdem weiblich und People of Color.",https://www.deutschlandfunknova.de/beitrag/mehrfach-diskriminiert-das-konzept-intersektionalitaet,Vgl. Deutschlandfunk Nova 2022: Mehrfach diskriminiert: Das Konzept Intersektionalität,x,,,,,
Körperliche Gewalt,"Die körperliche Gewalt wird auch physische Gewalt genannt. Diese Form meint ein nach aussen gerichtetes, aggressives Verhalten, welches die Schädigung und/oder Verletzung eines anderen zur Folge hat. Beispiele: Schubsen, Treten und Schlagen, Ohrfeigen, Anspucken, Festhalten, Einsperren / Aussperren, Würgen.",https://www.juraforum.de/lexikon/gewalt#koerperliche-physische-gewalt,Vgl. Jura Forum ,,,x,,x,
Love Bombing,"Love Bombing (zu Deutsch Liebesbombardement) ist eine manipulative Beziehungstaktik, bei der jemand von einem „Love Bomber“ oder einer „Love Bomberin“ mit Aufmerksamkeit, Geschenken, Komplimenten und Versprechen regelrecht überschüttet wird. Der Love Bomber oder die Love Bomberin täuscht ernste Absichten vor und zielt darauf ab, eine Person schnellstmöglich von sich abhängig zu machen. Es handelt sich dabei um eine Form von emotionalem Missbrauch. ",https://www.aok.de/pk/magazin/familie/liebe-sexualitaet/love-bombing-bedeutung-anzeichen-und-praevention/,"Vgl. AOK 2023, Warum Love Bombing so gefährlich ist",x,x,,,,
Mikroaggressionen,"Mikroaggressionen sind alltägliche Kommentare, Fragen, verbale oder nonverbale Handlungen, die überwiegend marginalisierte Gruppen treffen und negative Stereotypen verfestigen. Sie können sowohl absichtlich als auch unabsichtlich geäußert oder getätigt werden. Obwohl sie oft nicht verletzend gemeint sind, können sie dazu führen, dass sich Menschen unsicher und unwohl fühlen.",https://vielfalt.uni-koeln.de/antidiskriminierung/glossar-diskriminierung-rassismuskritik/mikroagressionen,"Vgl. Universität zu Köln, Mikroaggressionen",,x,,x,x,
Mobbing,"Mobbing ist fortgesetzte Gewalt einer Person oder Gruppe gegenüber einer anderen Person. Hinter Mobbing steckt eine Dynamik, die auf Macht und Kontrolle in größeren Gruppen abzielt. Normalerweise gibt es einen oder wenige Angreiferinnen oder Angreifer - und eine größere Zahl Unbeteiligter, die nicht eingreifen, aber stillschweigend dazu beitragen. Die einzelnen Formen von Mobbing sind oftmals nicht klar von anderen Gewaltformen abzugrenzen. Eine umfassende Übersicht enthält der Katalog der 100 Mobbinghandlungen nach Esser & Wolmerath (der Personalrat 2000, S. 448)",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen",x,x,,x,x,x
Misogynie ,"Der aus dem Altgriechischen stammende Begriff Misogynie lässt sich am genauesten als Frauenhass übersetzen, daneben findet man häufig als Synonym die Formulierung der Frauenfeindlichkeit. Misogynie beschreibt die Annahme einer ontologischen Minderwertigkeit von Frauen, wie sie seit der Antike in verschiedenen Schriften der Philosophie und Literatur, aber letztlich auch im christlichen Glauben, der Hexenverfolgung und wissenschaftlichen Abhandlungen zum Ausdruck gebracht wurde",https://www.bpb.de/shop/zeitschriften/apuz/267942/frauenfeindlich-sexistisch-antifeministisch/#footnote-target-2,"Vgl. Bundeszentrale für politische Bildung 2018, Aus Politik und Zeitgeschichte",x,,,,,
Sexuelle Nötigung,"Das Strafgesetzbuch benennt einen sexuellen Übergriff, bei welchem körperliche oder psychische Gewalt hinzukommt, als sexuelle Nötigung. Um den Straftatbestand einer sexuellen Nötigung zu erfüllen, müssen Umstände wie die folgenden vorliegen: 1) Gewalt gegenüber dem Opfer: Das Opfer wird geschlagen, niedergedrückt oder am Schreien gehindert; 2) Drohungen: Dem Opfer wird beispielsweise mit Gewalt oder dem Tod gedroht; 3) Ausnutzung einer Situation: Das Opfer wird beispielsweise unter Drogen gesetzt, so dass es sich nicht mehr wehren kann oder ist mit dem oder der Täter*in in einem Raum eingesperrt. Die schwerste Form der sexuellen Nötigung gemäß Strafgesetzbuch die Vergewaltigung.",https://www.klugo.de/blog/sexuelle-noetigung,"Vgl. Klugo 2022, Was gilt als sexuelle Nötigung? Das sagt das StGB",,,x,,x,
Partnerschaftliche Gewalt,"Partnerschaftsgewalt bezeichnet Gewalttaten zwischen Menschen, die in einer häuslichen Gemeinschaft leben oder lebten, beispielsweise in einer Ehe, Lebenspartnerschaft oder intimen Beziehung. Zu Partnerschaftsgewalt zählen nicht nur Schläge, sie sind nur eine Facette eines komplexen Verhaltensmusters, das umfassend auf Macht und Kontrolle zielt. Betroffene sind häufig auch psychischer Gewalt wie Demütigungen, Drohungen, Einschüchterungen, sozialer Isolation oder wirtschaftlichem Druck durch den Täter oder die Täterin ausgesetzt.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen",x,x,x,,x,
Pathologischer Narzissmus,"Bei der krankhaften Form von Narzissmus (vergleichbar mit Selbstverliebtheit), also die narzisstische Persönlichkeitsstörung, handelt es sich um eine psychosomatische Erkrankung mit funktionalen Störungen der eigenen Selbstwertregulation. Menschen mit narzisstischer Persönlichkeitsstörung zeichnet ein krankhaft übertriebenes Selbstwertgefühl und Aufmerksamkeitsbedürfnis aus. Typische Kennzeichen von pathologischem Narzissmus sind: Selbstüberschätzung, Fantasieren, Überlegenheitsgefühle, Aufmerksamkeitssuche, ausbeiterisches Verhalten, Mangel an Empathie und Neid. Das Glossar ""Narzissmus A - Z"" von Projekt Echo beschreibt typische Handlungen, Muster und Auswirkungen bei narzisstischem Missbrauch.",https://www.onmeda.de/krankheiten/narzissmus-id202498/,"Vgl. Onmeda 2022, Narzissmus: Definition, Symptome und Typen",,x,,,,
psychische Gewalt,"Psychische Gewalt ist eine Form von Gewalt, die ohne Schläge auskommt. Ziel ist es dabei in der Regel immer, die andere Person zu schwächen, sie aus dem Gleichgewicht zu bringen und zu verunsichern. Opfer psychischer Gewalt beginnen, ihr Selbstbild zu ändern und das Vertrauen zu verlieren, sowohl in sich selbst, als auch in andere Personen. Gezielt ausgeübte psychische Gewalt ist dabei zu unterscheiden von der kurzfristigen Abreaktion von Frustration. So kann es in jedem Streit vorkommen, dass Worte fallen, die im Eifer des Gefechts und aufgrund eines aufgewühlten Gefühlslebens ausgesprochen werden. Mit psychischer Gewalt geht es jedoch nicht darum, sich kurzfristig „Luft zu machen“, sondern der Täter verfolgt dabei meist folgende Hauptziele: Macht, Kontrolle, Dominanz, Privilegien.",https://www.juraforum.de/lexikon/psychische-gewalt#was-ist-psychische-gewalt,"Vgl. Jura Forum, Was ist psychische Gewalt?",,x,,,,
Rape culture,"Rape culture beschreibt eine Gesellschaft, in der sexuelle Gewalt zwar weit verbreitet ist, aber von vielen Menschen nicht als solche gesehen wird: Opfern wird generell misstraut oder die Schuld zugeschoben, indem Täter geschützt und Vorfälle heruntergespielt werden. So werden beispielsweise Frauen, die Anzeige nach einem Übergriff erstatten, gefragt, warum sie denn zu so später Stunde allein unterwegs waren. Angestellten, die sich gegen Vorgesetzte wehren, wird strategisches Interesse unterstellt.",https://taz.de/Rape-Culture/!5075574/,"Vgl. taz 12.01.2013, Rape Culture - Die hässliche Wirklichkeit",x,,,,,
Sexismus,"Sexismus ist eine Art von Diskriminierung und bedeutet die Benachteiligung, Abwertung, Verletzung und Unterdrückung einer Person oder einer Gruppe aufgrund des Geschlechts. Sexismus ist auch die Vorstellung, dass Geschlechter eine Ordnung oder Reihenfolge haben. Zum Beispiel die Vorstellung, dass Männer mehr wert sind als Frauen. Wer sexistisch denkt, beachtet nicht die Persönlichkeit des einzelnen Menschen. Wer sexistisch denkt, denkt zum Beispiel: Sie ist eine Frau, dann muss sie auf eine bestimmte Art aussehen oder sich verhalten oder so fühlen / Sie ist eine Frau, dann hat sie bestimmte Aufgaben / Er ist ein Mann, dann muss er etwas besonders gut können. Wer sexistisch denkt, denkt also nicht darüber nach, ob eine Person wirklich bestimmte Dinge gut kann oder gern machen möchte.",https://www.bpb.de/kurz-knapp/lexika/lexikon-in-einfacher-sprache/331402/sexismus/,"Vgl. Bundeszentrale für politische Bildung 2022, einfach POLITIK: Lexikon",x,,,,,
sexualisierte Gewalt,"Sexualisierte Gewalt bezeichnet jeden Übergriff auf die sexuelle Selbstbestimmung. Die Täter - weit überwiegend sind es Männer, auch wenn sexualisierte Gewalt ebenfalls von Frauen ausgehen kann - zwingen den Betroffenen ihren Willen auf. Es geht also um Machtverhalten. Sexualisierte Gewalt wertet Menschen durch sexuelle Handlungen oder Kommunikation gezielt ab, demütigt und erniedrigt sie.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen ",x,x,x,x,x,x
sexuelle Belästigung,"Nicht nur körperliche Übergriffe wie Vergewaltigung, sexuelle Nötigung oder sexueller Missbrauch zählen zu dieser Form von Gewalt. Auch jede Form unerwünschter sexueller Kommunikation zählen dazu - obszöne Worte und Gesten, aufdringliche und unangenehme Blicke, das Zeigen oder Zusenden sexueller Inhalte und/oder von Pornografie.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen ",x,x,x,x,,x
sexuelle Belästigung am Arbeitsplatz,"Sexismus und sexuelle Belästigung am Arbeitsplatz kommen in zahlreichen Unternehmen und Organisationen vor. Die Antidiskriminierungsstelle des Bundes hat im Oktober 2019 eine Studie veröffentlicht: Demnach hat jede elfte erwerbstätige Person in den vergangenen drei Jahren sexuelle Belästigung und Gewalt am Arbeitsplatz erlebt. Frauen sind doppelt so häufig betroffen wie Männer. Betroffene können sich direkt gegen Täter oder Täterinnen wehren und bei ihrer Arbeitsstelle Schutz und Hilfe einfordern. Darüber hinaus sind manche Formen der sexuellen Belästigung auch strafrechtlich relevant - nämlich dann, wenn sie mit körperlichen Übergriffen einhergehen.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen ",,,,x,,
Sexueller Missbrauch von Kindern,"Sexueller Missbrauch von Kindern ist gemäß § 176 Strafgesetzbuch (StGB) eine Straftat gegen die sexuelle Selbstbestimmung. Das bedeutet, dass sich ein Erwachsener oder Jugendlicher (14 Jahre und älter) strafbar macht, wenn er sexuelle Handlungen an einem Kind (Person unter 14 Jahren) vornimmt oder an sich vornehmen lässt. Diese Handlungen können mit und ohne Körperkontakt stattfinden. Somit fallen insbesondere Berührungen im Intimbereich und alle Formen von Vergewaltigungen darunter. Jedoch auch das Zeigen oder gemeinsame Betrachten pornografischer Bilder oder das Entblößen von Genitalien und das Manipulieren an Geschlechtsteilen sind nach dem Strafgesetzbuch Missbrauchshandlungen, wenn ein Erwachsener oder Jugendlicher mit oder vor einem Kind agiert.",https://www.polizei-beratung.de/infos-fuer-betroffene/sexueller-missbrauch-von-kindern/,Vgl. Polizei-Beartung ,x,x,x,,,x
Silencing,"Silencing (dt. Zum Schweigen bringen) bringt Bevölkerungsgruppen, Kulturen, Lebensweisen und Perspektiven zum Schweigen. Gerade in Diskriminierungs- und Rassismus-Kontexten, in denen BIPoC zugehört und wahrgenommen werden müssen, kommt es vermehrt dazu. Dabei wird ihnen vorgeschrieben, wie sie über ihre Erfahrungen und Emotionen zu sprechen haben, um nicht z.B. zu wütend oder zu laut zu erscheinen. So werden Stereotype gegen marginalisierte Personen reproduziert und Machtstrukturen geschaffen.",https://renk-magazin.de/was-ist-silencing/,"Vgl. renk Magazin 15.03.2022, Was ist Silencing? ",x,x,,,,
Soziale Gewalt,"Soziale Gewalt zählt mit zur Kategorie der psychischen Gewalt und geht oft einher mit einer Isolation der Betroffenen. Es handelt sich um ein Verhalten, das darauf abzielt, sie zu isolieren und beinhaltet zum Beispiel die oft subtile Abwertung von Kontakten zu Familie oder Freunden, sowie weniger subtile Handlungen wir das Einsperren zu Hause, das Absperren des Telefons. ",https://link.springer.com/chapter/10.1007/978-3-531-93127-2_3,"Vgl. Lamnek/Luedtke/Ottermann/Vogl 2012, Soziale Bedingungen häuslicher Gewalt",,x,,,x,
Stalking,"Der englische Begriff ""to stalk"" kommt aus der Jagd und bedeutet so viel wie anschleichen oder anpirschen. Stalking bezeichnet das intensive und andauernde Nachstellen, Belästigen und Bedrohen der ausgewählten Person. Stalkerinnen und Stalker zwingen Betroffenen den Kontakt auf. Es geht ihnen nicht um eine Beziehung. Tatsächliches Ziel sind Macht und Kontrolle. Stalking kann viele Formen annehmen. Dazu gehören die ständige unerwünschte Kommunikation über Briefe, E-Mails, Telefon, Messenger oder das Beobachten und Auskundschaften von Tagesabläufen und Gewohnheiten. Auch die indirekte Kontaktaufnahme über dritte Personen, Beschimpfungen sowie das Eindringen in Wohnräume oder Lebensbereiche wie den Arbeitsplatz, den Verein oder das Fitnessstudio zählen dazu. Unerwünschte Geschenke oder Bestellungen im Namen der Betroffenen, das Zerstören von Eigentum sowie das Androhen von Gewalt bis hin zu tatsächlichen körperlichen oder sexuellen Übergriffen können ebenfalls als Stalking bezeichnet werden.",https://www.bmfsfj.de/bmfsfj/themen/gleichstellung/frauen-vor-gewalt-schuetzen/haeusliche-gewalt/formen-der-gewalt-erkennen-80642,"Vgl. BMFSFJ 2023, Formen der Gewalt erkennen ",x,x,,,,x
Täter-Opfer-Umkehr,"Täter-Opfer-Umkehr ist ein Begriff aus der Kriminologie und bezieht sich auf eine Situation, in der das Opfer einer Straftat als Täterin oder Täter, bzw. als Mittäterin oder Mittäter dargestellt oder behandelt wird. Der englische Begriff „Victim Blaming“ bedeutet wörtlich übersetzt „Opfer beschuldigen“ bzw. „Opfer-Schelte“. Victim Blaiming tritt u.a. infolge von häuslicher Gewalt, Vergewaltigungen, klassischen Betrugsdelikten oder rassistischen Übergriffen auf. Die Ursache für einen Übergriff wird hierbei nicht bei der Tatperson, sondern im vermeintlich „provokativen“ Verhalten des Opfers gesucht. Man spricht dabei von einer möglichen „Mitschuld“, wo es aber keine gibt. Andersherum formuliert hieße das, wenn man sich selbst richtig verhalten würde, könnte ja nichts passieren. Das wäre eine trügerische Sicherheit und falsch.",https://www.polizei-beratung.de/infos-fuer-betroffene/victim-blaming/,Vgl. Polizei-Beratung,x,,,,,
Trauma,"Unter einem Trauma verstehen Fachleute eine schwere seelische Verletzung, die durch ein extrem belastendes persönliches Erlebnis ausgelöst werden kann. Traumatisierend können verschiedene Situationen und Ereignisse wirken, die so außergewöhnlich bedrohend oder katastrophal sind, dass sie bei fast jedem Menschen eine tiefe Verzweiflung auslösen würden. Hierzu zählen unter anderem: Naturkatastrophen, schwere Unfälle, Kriege, Tod naher Angehöriger, lebensbedrohliche Erkrankungen, körperliche, psychische oder sexuelle Gewalt, Mobbing. Ein Trauma kann eine starke und oft langanhaltende seelische Belastung zur Folge haben. Das hat jedoch nichts mit Schwäche zu tun. Vielmehr gibt es außergewöhnlich belastende Situationen, die ein Mensch nicht ohne Weiteres bewältigen kann. So gesehen handelt es bei einer Traumatisierung um eine komplexe Reaktion auf extreme äußere Einflüsse, welche von verschiedenen Faktoren beeinflusst wird.",https://www.aok.de/pk/magazin/koerper-psyche/psychologie/trauma-wenn-die-seele-verletzt-wird/,"Vgl. AOK 2022, Trauma: Wenn die Seele verletzt wird",x,x,,,,
Vergewaltigung,"Eine Vergewaltigung ist jegliches Eindringen in den Körper oder der Versuch des Eindringens in den Körper einer Person ohne deren Einverständnis. Vergewaltigung beschreibt die extremste Form sexualisierter Gewalt, bei der Sexualität als Mittel zur Machtdemonstration, Demütigung und Unterwerfung von Menschen eingesetzt wird. Nach der Sexualstrafrechtsreform vom  Jahr 2016 kommt es für die Strafbarkeit einer sexuellen Handlung nicht mehr darauf an, ob körperliche Gewalt angewendet wurde oder ob eine betroffene Person sich gewehrt hat. Ein sexueller Übergriff ist dann strafbar, wenn er gegen den erkennbaren Willen einer Person ausgeübt wird. Der Grundsatz „Nein heißt Nein“ ist damit auch im deutschen Strafrecht verankert. ",https://beratung-bonn.de/themen/vergewaltigung/,Vgl. Beratungsstelle gegen sexualisierte Gewalt,x,,x,,,
Victim Blaming,"Victim Blaming (Täter-Opfer-Umkehr) ist ein Begriff aus der Kriminologie und bezieht sich auf eine Situation, in der das Opfer einer Straftat als Täterin oder Täter, bzw. als Mittäterin, Mittäter dargestellt oder behandelt wird. Der englische Begriff „Victim Blaming“ bedeutet wörtlich übersetzt „Opfer beschuldigen“ bzw. „Opfer-Schelte“. Victim Blaiming tritt u.a. infolge von häuslicher Gewalt, Vergewaltigungen, klassischen Betrugsdelikten oder rassistischen Übergriffen auf. Die Ursache für einen Übergriff wird hierbei nicht bei der Tatperson, sondern im vermeintlich „provokativen“ Verhalten des Opfers gesucht. Man spricht dabei von einer möglichen „Mitschuld“, wo es aber keine gibt. Andersherum formuliert hieße das, wenn man sich selbst richtig verhalten würde, könnte ja nichts passieren. Das wäre eine trügerische Sicherheit und falsch.",https://www.polizei-beratung.de/infos-fuer-betroffene/victim-blaming/,Vgl. Polizei-Beratung,x,,,,,
Wirtschaftliche Gewalt,"Wirtschaftliche Gewalt bezeichnet jene Situationen, in denen die Frau über kein eigenes Einkommen verfügt und der Partner diese Situation ausnützt, indem er ungenügende Geldmittel für Haushaltsangelegenheiten bereitstellt und/oder Einkommen, Vermögen und Ausgaben geheim hält. Die Beschränkungen sollen darauf abzielen, das erzielte Einkommen zu kontrollieren. Wie bei anderen Formen von Gewalt besteht ihre Funktion darin, Abhängigkeit und Angst zu erzeugen, die dazu beitragen, den Vorrang des männlichen Familienoberhauptes in einem Muster der Ungleichheit der Geschlechter zu stärken, das dank Gewalt länger anhält.",https://www.gewaltinfo.at/fachwissen/formen/oekonomische_gewalt.php,"Vgl. Gewalt INFO at, Ökonomische Gewalt",,,,,x,
